layout,status,duration_seconds,num_results,output_dir,results_path,metrics
recency,success,49.019535,2,output\layout_experiments\20250628_075531\recency,output\layout_experiments\20250628_075531\recency\model_labels_tot.csv,"{'accuracy': 1.0, 'frame_metrics': {'Neutral': {'precision': 1.0, 'recall': 1.0, 'f1': 1.0, 'tp': 2, 'fp': 0, 'fn': 0}}, 'total_samples': 2, 'correct_samples': 2, 'excluded_unknown': 0}"
standard,success,68.724692,2,output\layout_experiments\20250628_075531\standard,output\layout_experiments\20250628_075531\standard\model_labels_tot.csv,"{'accuracy': 1.0, 'frame_metrics': {'Neutral': {'precision': 1.0, 'recall': 1.0, 'f1': 1.0, 'tp': 2, 'fp': 0, 'fn': 0}}, 'total_samples': 2, 'correct_samples': 2, 'excluded_unknown': 0}"
sandwich,success,69.951378,2,output\layout_experiments\20250628_075531\sandwich,output\layout_experiments\20250628_075531\sandwich\model_labels_tot.csv,"{'accuracy': 1.0, 'frame_metrics': {'Neutral': {'precision': 1.0, 'recall': 1.0, 'f1': 1.0, 'tp': 2, 'fp': 0, 'fn': 0}}, 'total_samples': 2, 'correct_samples': 2, 'excluded_unknown': 0}"
hop_last,success,42.184103,2,output\layout_experiments\20250628_075531\hop_last,output\layout_experiments\20250628_075531\hop_last\model_labels_tot.csv,"{'accuracy': 1.0, 'frame_metrics': {'Neutral': {'precision': 1.0, 'recall': 1.0, 'f1': 1.0, 'tp': 2, 'fp': 0, 'fn': 0}}, 'total_samples': 2, 'correct_samples': 2, 'excluded_unknown': 0}"
minimal_system,success,63.83152,2,output\layout_experiments\20250628_075531\minimal_system,output\layout_experiments\20250628_075531\minimal_system\model_labels_tot.csv,"{'accuracy': 1.0, 'frame_metrics': {'Neutral': {'precision': 1.0, 'recall': 1.0, 'f1': 1.0, 'tp': 2, 'fp': 0, 'fn': 0}}, 'total_samples': 2, 'correct_samples': 2, 'excluded_unknown': 0}"
question_first,success,62.782674,2,output\layout_experiments\20250628_075531\question_first,output\layout_experiments\20250628_075531\question_first\model_labels_tot.csv,"{'accuracy': 1.0, 'frame_metrics': {'Neutral': {'precision': 1.0, 'recall': 1.0, 'f1': 1.0, 'tp': 2, 'fp': 0, 'fn': 0}}, 'total_samples': 2, 'correct_samples': 2, 'excluded_unknown': 0}"
segment_focus,success,39.957676,2,output\layout_experiments\20250628_075531\segment_focus,output\layout_experiments\20250628_075531\segment_focus\model_labels_tot.csv,"{'accuracy': 1.0, 'frame_metrics': {'Neutral': {'precision': 1.0, 'recall': 1.0, 'f1': 1.0, 'tp': 2, 'fp': 0, 'fn': 0}}, 'total_samples': 2, 'correct_samples': 2, 'excluded_unknown': 0}"
instruction_first,success,52.539319,2,output\layout_experiments\20250628_075531\instruction_first,output\layout_experiments\20250628_075531\instruction_first\model_labels_tot.csv,"{'accuracy': 1.0, 'frame_metrics': {'Neutral': {'precision': 1.0, 'recall': 1.0, 'f1': 1.0, 'tp': 2, 'fp': 0, 'fn': 0}}, 'total_samples': 2, 'correct_samples': 2, 'excluded_unknown': 0}"
structured_json,success,74.24965,2,output\layout_experiments\20250628_075531\structured_json,output\layout_experiments\20250628_075531\structured_json\model_labels_tot.csv,"{'accuracy': 1.0, 'frame_metrics': {'Neutral': {'precision': 1.0, 'recall': 1.0, 'f1': 1.0, 'tp': 2, 'fp': 0, 'fn': 0}}, 'total_samples': 2, 'correct_samples': 2, 'excluded_unknown': 0}"
parallel_analysis,success,48.124228,2,output\layout_experiments\20250628_075531\parallel_analysis,output\layout_experiments\20250628_075531\parallel_analysis\model_labels_tot.csv,"{'accuracy': 1.0, 'frame_metrics': {'Neutral': {'precision': 1.0, 'recall': 1.0, 'f1': 1.0, 'tp': 2, 'fp': 0, 'fn': 0}}, 'total_samples': 2, 'correct_samples': 2, 'excluded_unknown': 0}"
evidence_based,success,41.887606,2,output\layout_experiments\20250628_075531\evidence_based,output\layout_experiments\20250628_075531\evidence_based\model_labels_tot.csv,"{'accuracy': 1.0, 'frame_metrics': {'Neutral': {'precision': 1.0, 'recall': 1.0, 'f1': 1.0, 'tp': 2, 'fp': 0, 'fn': 0}}, 'total_samples': 2, 'correct_samples': 2, 'excluded_unknown': 0}"
xml_structured,success,42.7313,2,output\layout_experiments\20250628_075531\xml_structured,output\layout_experiments\20250628_075531\xml_structured\model_labels_tot.csv,"{'accuracy': 1.0, 'frame_metrics': {'Neutral': {'precision': 1.0, 'recall': 1.0, 'f1': 1.0, 'tp': 2, 'fp': 0, 'fn': 0}}, 'total_samples': 2, 'correct_samples': 2, 'excluded_unknown': 0}"
primacy_recency,success,41.625696,2,output\layout_experiments\20250628_075531\primacy_recency,output\layout_experiments\20250628_075531\primacy_recency\model_labels_tot.csv,"{'accuracy': 1.0, 'frame_metrics': {'Neutral': {'precision': 1.0, 'recall': 1.0, 'f1': 1.0, 'tp': 2, 'fp': 0, 'fn': 0}}, 'total_samples': 2, 'correct_samples': 2, 'excluded_unknown': 0}"
