Layout,Accuracy,Precision_Alarmist,Recall_Alarmist,F1_Alarmist,Precision_Neutral,Recall_Neutral,F1_Neutral,Precision_Reassuring,Recall_Reassuring,F1_Reassuring,Duration_Seconds
recency,1.0,0,0,0,1.0,1.0,1.0,0,0,0,47.098306
standard,1.0,0,0,0,1.0,1.0,1.0,0,0,0,66.542277
sandwich,1.0,0,0,0,1.0,1.0,1.0,0,0,0,66.940265
question_first,1.0,0,0,0,1.0,1.0,1.0,0,0,0,37.968345
hop_last,1.0,0,0,0,1.0,1.0,1.0,0,0,0,40.173857
minimal_system,1.0,0,0,0,1.0,1.0,1.0,0,0,0,64.207154
segment_focus,1.0,0,0,0,1.0,1.0,1.0,0,0,0,39.325129
instruction_first,1.0,0,0,0,1.0,1.0,1.0,0,0,0,45.50412
structured_json,1.0,0,0,0,1.0,1.0,1.0,0,0,0,61.883219
parallel_analysis,1.0,0,0,0,1.0,1.0,1.0,0,0,0,41.14943
evidence_based,1.0,0,0,0,1.0,1.0,1.0,0,0,0,39.700174
xml_structured,1.0,0,0,0,1.0,1.0,1.0,0,0,0,39.716597
primacy_recency,1.0,0,0,0,1.0,1.0,1.0,0,0,0,39.682677
