layout,status,duration_seconds,num_results,output_dir,results_path,metrics
evidence_based,success,958.506483,259,output\layout_experiments\20250628_090705\evidence_based,output\layout_experiments\20250628_090705\evidence_based\model_labels_tot.csv,"{'accuracy': 0.9652509652509652, 'frame_metrics': {'Alarmist': {'precision': 0.84, 'recall': 0.9130434782608695, 'f1': 0.8749999999999999, 'tp': 21, 'fp': 4, 'fn': 2}, 'Neutral': {'precision': 0.9865470852017937, 'recall': 0.9734513274336283, 'f1': 0.9799554565701559, 'tp': 220, 'fp': 3, 'fn': 6}, 'Reassuring': {'precision': 0.8181818181818182, 'recall': 0.9, 'f1': 0.8571428571428572, 'tp': 9, 'fp': 2, 'fn': 1}}, 'total_samples': 259, 'correct_samples': 250, 'excluded_unknown': 0}"
standard,success,1019.862024,259,output\layout_experiments\20250628_090705\standard,output\layout_experiments\20250628_090705\standard\model_labels_tot.csv,"{'accuracy': 0.9845559845559846, 'frame_metrics': {'Alarmist': {'precision': 0.92, 'recall': 1.0, 'f1': 0.9583333333333334, 'tp': 23, 'fp': 2, 'fn': 0}, 'Neutral': {'precision': 1.0, 'recall': 0.9823008849557522, 'f1': 0.9910714285714286, 'tp': 222, 'fp': 0, 'fn': 4}, 'Reassuring': {'precision': 0.8333333333333334, 'recall': 1.0, 'f1': 0.9090909090909091, 'tp': 10, 'fp': 2, 'fn': 0}}, 'total_samples': 259, 'correct_samples': 255, 'excluded_unknown': 0}"
structured_json,success,1018.732231,259,output\layout_experiments\20250628_090705\structured_json,output\layout_experiments\20250628_090705\structured_json\model_labels_tot.csv,"{'accuracy': 0.9922779922779923, 'frame_metrics': {'Alarmist': {'precision': 0.92, 'recall': 1.0, 'f1': 0.9583333333333334, 'tp': 23, 'fp': 2, 'fn': 0}, 'Neutral': {'precision': 1.0, 'recall': 0.9911504424778761, 'f1': 0.9955555555555555, 'tp': 224, 'fp': 0, 'fn': 2}, 'Reassuring': {'precision': 1.0, 'recall': 1.0, 'f1': 1.0, 'tp': 10, 'fp': 0, 'fn': 0}}, 'total_samples': 259, 'correct_samples': 257, 'excluded_unknown': 0}"
primacy_recency,success,1023.630774,259,output\layout_experiments\20250628_090705\primacy_recency,output\layout_experiments\20250628_090705\primacy_recency\model_labels_tot.csv,"{'accuracy': 0.9922779922779923, 'frame_metrics': {'Alarmist': {'precision': 0.9583333333333334, 'recall': 1.0, 'f1': 0.9787234042553191, 'tp': 23, 'fp': 1, 'fn': 0}, 'Neutral': {'precision': 1.0, 'recall': 0.9911504424778761, 'f1': 0.9955555555555555, 'tp': 224, 'fp': 0, 'fn': 2}, 'Reassuring': {'precision': 0.9090909090909091, 'recall': 1.0, 'f1': 0.9523809523809523, 'tp': 10, 'fp': 1, 'fn': 0}}, 'total_samples': 259, 'correct_samples': 257, 'excluded_unknown': 0}"
xml_structured,success,1038.218014,259,output\layout_experiments\20250628_090705\xml_structured,output\layout_experiments\20250628_090705\xml_structured\model_labels_tot.csv,"{'accuracy': 0.9806949806949807, 'frame_metrics': {'Alarmist': {'precision': 0.8846153846153846, 'recall': 1.0, 'f1': 0.9387755102040816, 'tp': 23, 'fp': 3, 'fn': 0}, 'Neutral': {'precision': 0.9955156950672646, 'recall': 0.9823008849557522, 'f1': 0.9888641425389755, 'tp': 222, 'fp': 1, 'fn': 4}, 'Reassuring': {'precision': 0.9, 'recall': 0.9, 'f1': 0.9, 'tp': 9, 'fp': 1, 'fn': 1}}, 'total_samples': 259, 'correct_samples': 254, 'excluded_unknown': 0}"
parallel_analysis,success,1044.937123,259,output\layout_experiments\20250628_090705\parallel_analysis,output\layout_experiments\20250628_090705\parallel_analysis\model_labels_tot.csv,"{'accuracy': 0.9922779922779923, 'frame_metrics': {'Alarmist': {'precision': 0.92, 'recall': 1.0, 'f1': 0.9583333333333334, 'tp': 23, 'fp': 2, 'fn': 0}, 'Neutral': {'precision': 1.0, 'recall': 0.9911504424778761, 'f1': 0.9955555555555555, 'tp': 224, 'fp': 0, 'fn': 2}, 'Reassuring': {'precision': 1.0, 'recall': 1.0, 'f1': 1.0, 'tp': 10, 'fp': 0, 'fn': 0}}, 'total_samples': 259, 'correct_samples': 257, 'excluded_unknown': 0}"
question_first,success,1075.680319,259,output\layout_experiments\20250628_090705\question_first,output\layout_experiments\20250628_090705\question_first\model_labels_tot.csv,"{'accuracy': 0.9884169884169884, 'frame_metrics': {'Alarmist': {'precision': 0.9583333333333334, 'recall': 1.0, 'f1': 0.9787234042553191, 'tp': 23, 'fp': 1, 'fn': 0}, 'Neutral': {'precision': 1.0, 'recall': 0.9867256637168141, 'f1': 0.9933184855233852, 'tp': 223, 'fp': 0, 'fn': 3}, 'Reassuring': {'precision': 0.8333333333333334, 'recall': 1.0, 'f1': 0.9090909090909091, 'tp': 10, 'fp': 2, 'fn': 0}}, 'total_samples': 259, 'correct_samples': 256, 'excluded_unknown': 0}"
minimal_system,success,1079.218611,259,output\layout_experiments\20250628_090705\minimal_system,output\layout_experiments\20250628_090705\minimal_system\model_labels_tot.csv,"{'accuracy': 1.0, 'frame_metrics': {'Alarmist': {'precision': 1.0, 'recall': 1.0, 'f1': 1.0, 'tp': 23, 'fp': 0, 'fn': 0}, 'Neutral': {'precision': 1.0, 'recall': 1.0, 'f1': 1.0, 'tp': 226, 'fp': 0, 'fn': 0}, 'Reassuring': {'precision': 1.0, 'recall': 1.0, 'f1': 1.0, 'tp': 10, 'fp': 0, 'fn': 0}}, 'total_samples': 259, 'correct_samples': 259, 'excluded_unknown': 0}"
hop_last,success,1131.923318,259,output\layout_experiments\20250628_090705\hop_last,output\layout_experiments\20250628_090705\hop_last\model_labels_tot.csv,"{'accuracy': 0.9884169884169884, 'frame_metrics': {'Alarmist': {'precision': 0.92, 'recall': 1.0, 'f1': 0.9583333333333334, 'tp': 23, 'fp': 2, 'fn': 0}, 'Neutral': {'precision': 1.0, 'recall': 0.9867256637168141, 'f1': 0.9933184855233852, 'tp': 223, 'fp': 0, 'fn': 3}, 'Reassuring': {'precision': 0.9090909090909091, 'recall': 1.0, 'f1': 0.9523809523809523, 'tp': 10, 'fp': 1, 'fn': 0}}, 'total_samples': 259, 'correct_samples': 256, 'excluded_unknown': 0}"
sandwich,success,1182.200292,259,output\layout_experiments\20250628_090705\sandwich,output\layout_experiments\20250628_090705\sandwich\model_labels_tot.csv,"{'accuracy': 0.9806949806949807, 'frame_metrics': {'Alarmist': {'precision': 1.0, 'recall': 0.8695652173913043, 'f1': 0.9302325581395349, 'tp': 20, 'fp': 0, 'fn': 3}, 'Neutral': {'precision': 0.986784140969163, 'recall': 0.9911504424778761, 'f1': 0.988962472406181, 'tp': 224, 'fp': 3, 'fn': 2}, 'Reassuring': {'precision': 0.8333333333333334, 'recall': 1.0, 'f1': 0.9090909090909091, 'tp': 10, 'fp': 2, 'fn': 0}}, 'total_samples': 259, 'correct_samples': 254, 'excluded_unknown': 0}"
