rule,hop,mode,hit,total,coverage
BareNegation.NoFurtherCases.Live,7,live,0,2944,0.00%
BareNegation.NotContaminate.Live,7,live,0,2944,0.00%
BareNegation.NothingSuggests.Live,7,live,0,2944,0.00%
BareNegation.PosesNoRisk.Live,7,live,0,2944,0.00%
BareNegationHealthConcern,7,live,182,2944,6.18%
BaseRiskAdjQuoteNeutral,11,live,0,638,0.00%
CapabilityNoReassurance,8,shadow,336,2114,15.89%
DirectNoConcern.Live,5,live,0,3068,0.00%
DominantQuoteAlarmist,11,live,0,638,0.00%
DominantQuoteReassuring,11,live,0,638,0.00%
ExplicitCalming,5,live,78,3068,2.54%
ExplicitCalming.SafeToEat.Live,5,live,26,3068,0.85%
H1.AutoIntensifierRiskAdj,1,live,78,3367,2.32%
HighPotencyVerbMetaphor,2,live,52,3202,1.62%
IgnoreDisasterQ,4,live,0,3097,0.00%
IntensifierRiskAdjV2,1,live,130,3367,3.86%
LoadedQuestionAlarm,4,live,26,3097,0.84%
LowRiskEval.Theoretical,5,live,0,3068,0.00%
LowRiskSimple,5,live,0,3068,0.00%
MinimiserScaleContrast,6,live,0,2955,0.00%
ModerateVerbPlusScale,3,live,0,3107,0.00%
NeutralPriceMetrics,9,live,33,1092,3.02%
NeutralStats,12,live,4,542,0.74%
NoThreatNeutral.Live,7,live,0,2944,0.00%
NothingToWorry.Live,5,live,0,3068,0.00%
OnHighAlert.Live,2,live,52,3202,1.62%
ReliefSpeculation,10,live,17,836,2.03%
ScaleMultiplier,3,live,0,3107,0.00%
WhatIfQuestion,4,live,0,3097,0.00%
