rule,hop,mode,hit,total,coverage
BareNegation.NoFurtherCases.Live,7,live,0,248,0.00%
BareNegation.NotContaminate.Live,7,live,0,248,0.00%
BareNegation.NothingSuggests.Live,7,live,0,248,0.00%
BareNegation.PosesNoRisk.Live,7,live,0,248,0.00%
BareNegationHealthConcern,7,live,0,248,0.00%
BaseRiskAdjQuoteNeutral,11,live,0,73,0.00%
CapabilityNoReassurance,8,shadow,12,219,5.48%
DirectNoConcern.Live,5,live,0,282,0.00%
DominantQuoteAlarmist,11,live,0,73,0.00%
DominantQuoteReassuring,11,live,0,73,0.00%
ExplicitCalming,5,live,0,282,0.00%
ExplicitCalming.SafeToEat.Live,5,live,0,282,0.00%
H1.AutoIntensifierRiskAdj,1,live,6,300,2.00%
HighPotencyVerbMetaphor,2,live,0,294,0.00%
IgnoreDisasterQ,4,live,0,282,0.00%
IntensifierRiskAdjV2,1,live,6,300,2.00%
LoadedQuestionAlarm,4,live,0,282,0.00%
LowRiskEval.Theoretical,5,live,0,282,0.00%
LowRiskSimple,5,live,6,282,2.13%
MinimiserScaleContrast,6,live,0,268,0.00%
ModerateVerbPlusScale,3,live,0,287,0.00%
NeutralPriceMetrics,9,live,0,146,0.00%
NeutralStats,12,live,4,55,7.27%
NoThreatNeutral.Live,7,live,0,248,0.00%
NothingToWorry.Live,5,live,0,282,0.00%
OnHighAlert.Live,2,live,0,294,0.00%
ReliefSpeculation,10,live,0,73,0.00%
ScaleMultiplier,3,live,0,287,0.00%
WhatIfQuestion,4,live,0,282,0.00%
